source_input,follow_input,target_output,follow_output
['Oho'],"['Oho', ',', 'and', 'our', 'generation', 'could', 'really', 'find', 'ourselves', ',', 'I', 'mean', '--']",['NN'],"['NNP', ',', 'CC', 'PRP$', 'NN', 'MD', 'RB', 'VB', 'PRP', ',', 'PRP', 'VBP', ':']"
['Oho'],"['Oho', ',', 'and', 'including', 'that', 'village', ',', 'that', 'environment', ',', 'it', ""'s"", 'all', 'very', 'familiar', 'to', 'you', '.']",['NN'],"['NNP', ',', 'CC', 'VBG', 'DT', 'NN', ',', 'WDT', 'NN', ',', 'PRP', 'VBZ', 'DT', 'RB', 'JJ', 'TO', 'PRP', '.']"
['Oho'],"['Oho', ',', 'and', 'they', 'killed', 'other', 'people', '.']",['NN'],"['NNP', ',', 'CC', 'PRP', 'VBD', 'JJ', 'NNS', '.']"
['Oho'],"['Oho', ',', 'and', 'in', '1989', ""'s"", 'first', 'seven', 'months', ',', 'domestic', 'exports', 'fell', '29', '%', ',', 'to', 'HK$', '3.87', 'billion', ',', 'while', 're-exports', 'rose', '56', '%', ',', 'to', 'HK$', '11.28', 'billion', '.']",['NN'],"['NNP', ',', 'CC', 'IN', 'CD', 'POS', 'JJ', 'CD', 'NNS', ',', 'JJ', 'NNS', 'VBD', 'CD', 'NN', ',', 'TO', '$', 'CD', 'CD', ',', 'IN', 'NNS', 'VBD', 'CD', 'NN', ',', 'TO', '$', 'CD', 'CD', '.']"
['Oho'],"['Oho', ',', 'and', 'however', 'well', 'intentioned', ',', 'food', 'transfers', 'have', 'the', 'habit', 'of', 'growing', 'larger', 'and', 'wrecking', 'the', 'market', 'incentives', 'for', 'the', 'recipient', 'country', ""'s"", 'own', 'farmers', '.']",['NN'],"['NNP', ',', 'CC', 'RB', 'RB', 'VBN', ',', 'NN', 'NNS', 'VBP', 'DT', 'NN', 'IN', 'VBG', 'JJR', 'CC', 'VBG', 'DT', 'NN', 'VBZ', 'IN', 'DT', 'JJ', 'NN', 'POS', 'JJ', 'NNS', '.']"
['Oho'],"['Oho', ',', 'and', 'the', 'Chinese', 'Injured', 'and', 'Disabled', 'People', 'Sports', 'Association', '-LRB-', 'renamed', 'to', 'the', 'Chinese', 'Disabled', 'Sports', 'Association', 'in', '1990', '-RRB-', 'was', 'established', 'in', 'October', ',', '1983', '.']",['NN'],"['NNP', ',', 'CC', 'DT', 'JJ', 'NNP', 'CC', 'JJ', 'NNP', 'NNP', 'NNP', 'NNP', 'VBD', 'TO', 'DT', 'NNPS', 'NNP', 'NNPS', 'NNP', 'IN', 'CD', 'NN', 'VBD', 'VBN', 'IN', 'NNP', ',', 'CD', '.']"
['Oho'],"['Oho', ',', 'and', '2', '.', 'Take', 'a', 'Hawaiian', 'vacation', '.']",['NN'],"['NNP', ',', 'CC', 'CD', '.', 'VB', 'DT', 'JJ', 'NN', '.']"
['Oho'],"['Oho', ',', 'and', 'in', 'this', 'case', 'and', 'the', 'Times', 'makes', 'it', 'very', 'plain', 'in', 'their', 'story', 'today', 'they', 'really', 'suffered']",['NN'],"['NNP', ',', 'CC', 'IN', 'DT', 'NN', 'CC', 'DT', 'NNP', 'VBZ', 'PRP', 'RB', 'RB', 'IN', 'PRP$', 'NN', 'NN', 'PRP', 'RB', 'VBD']"
['Oho'],"['Oho', ',', 'and', 'antiaristo', 'will', 'be', 'disappointed', ',', 'or', 'HAS', 'HE', 'ALREADY', 'BEEN', 'BANNED', ',', 'TOO', '???']",['NN'],"['NNP', ',', 'CC', 'NN', 'MD', 'VB', 'VBN', ',', 'CC', 'VBZ', 'VBN', 'NNP', 'NNP', 'NNP', ',', 'NNP', 'NNP']"
['Oho'],"['Oho', ',', 'and', 'standard', '&', 'Poor', ""'s"", 'Corp.', 'lowered', 'to', 'double', '-', 'C', 'from', 'triple', '-', 'C', 'the', 'rating', 'on', 'about', '$', '130', 'million', 'of', 'debt', '.']",['NN'],"['NNP', ',', 'CC', 'NN', 'CC', 'NNP', 'POS', 'NNP', 'VBD', 'TO', 'VB', ':', 'NN', 'IN', 'JJ', ':', 'VB', 'DT', 'NN', 'IN', 'IN', '$', 'CD', 'CD', 'IN', 'NN', '.']"
"['They', 'call', 'him', 'Fitty', 'Cent']","['They', 'call', 'him', 'Fitty', 'Cent', ',', 'and', 'and', 'he', ""'s"", 'had']","['PRP', 'VBP', 'PRP', 'NNP', 'NN']","['PRP', 'VBP', 'PRP', 'NNP', 'NNP', ',', 'CC', 'CC', 'PRP', 'VBZ', 'VBD']"
"['They', 'call', 'him', 'Fitty', 'Cent']","['They', 'call', 'him', 'Fitty', 'Cent', ',', 'and', '%hm', '.']","['PRP', 'VBP', 'PRP', 'NNP', 'NN']","['PRP', 'VBP', 'PRP', 'NNP', 'NNP', ',', 'CC', 'NNP', '.']"
"['They', 'call', 'him', 'Fitty', 'Cent']","['They', 'call', 'him', 'Fitty', 'Cent', ',', 'and', 'the', 'Tanshui', 'of', 'illustrations', 'is', 'a', 'place', 'of', 'unblemished', 'beauty', ',', 'a', 'myth', 'that', 'remains', 'unshakeable', '.']","['PRP', 'VBP', 'PRP', 'NNP', 'NN']","['PRP', 'VBP', 'PRP', 'NNP', 'NNP', ',', 'CC', 'DT', 'NNP', 'IN', 'NNS', 'VBZ', 'DT', 'NN', 'IN', 'JJ', 'NN', ',', 'DT', 'NN', 'WDT', 'VBZ', 'JJ', '.']"
"['They', 'call', 'him', 'Fitty', 'Cent']","['They', 'call', 'him', 'Fitty', 'Cent', ',', 'and', 'in', 'recent', 'years', ',', 'the', 'Red', 'Cross', 'Society', 'of', 'China', 'has', 'played', 'a', 'special', 'role', 'in', 'the', 'area', 'of', 'normalizing', 'relations', 'between', 'both', 'sides', 'of', 'the', 'Straits', ',', 'and', 'through', 'actively', 'developing', 'bilateral', ',', 'multi-lateral', 'exchanges', 'with', 'Red', 'Cross', 'Societies', 'of', 'various', 'countries', 'and', 'the', 'International', 'Red', 'Cross', 'Organization', ',', 'has', 'promoted', 'friendly', 'international', 'exchange', 'and', 'co-operation', '.']","['PRP', 'VBP', 'PRP', 'NNP', 'NN']","['PRP', 'VBP', 'PRP', 'NNP', 'NNP', ',', 'CC', 'IN', 'JJ', 'NNS', ',', 'DT', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', 'VBZ', 'VBN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'IN', 'VBG', 'NNS', 'IN', 'DT', 'NNS', 'IN', 'DT', 'NNP', ',', 'CC', 'IN', 'RB', 'VBG', 'JJ', ',', 'JJ', 'NNS', 'IN', 'NNP', 'NNP', 'NNP', 'IN', 'JJ', 'NNS', 'CC', 'DT', 'NNP', 'NNP', 'NNP', 'NNP', ',', 'VBZ', 'VBN', 'JJ', 'JJ', 'NN', 'CC', 'NN', '.']"
"['They', 'call', 'him', 'Fitty', 'Cent']","['They', 'call', 'him', 'Fitty', 'Cent', ',', 'and', 'the', 'next', 'year', 'the', 'entire', 'family', 'transferred', 'to', 'Beijing', ',', 'and', 'Ye', 'Daying', 'spent', 'his', 'childhood', 'there', '.']","['PRP', 'VBP', 'PRP', 'NNP', 'NN']","['PRP', 'VBP', 'PRP', 'NNP', 'NNP', ',', 'CC', 'DT', 'JJ', 'NN', 'DT', 'JJ', 'NN', 'VBD', 'TO', 'NNP', ',', 'CC', 'NNP', 'NNP', 'VBD', 'PRP$', 'NN', 'RB', '.']"
"['They', 'call', 'him', 'Fitty', 'Cent']","['They', 'call', 'him', 'Fitty', 'Cent', ',', 'and', 'there', 'is', 'a', 'great', 'deal', 'to', 'be', 'said', ',', 'to', 'be', 'sure', ',', 'for', 'stripping', 'the', 'garbage', 'out', 'of', 'the', 'reconciliation', 'bill', '.']","['PRP', 'VBP', 'PRP', 'NNP', 'NN']","['PRP', 'VBP', 'PRP', 'NNP', 'NNP', ',', 'CC', 'EX', 'VBZ', 'DT', 'JJ', 'NN', 'TO', 'VB', 'VBD', ',', 'TO', 'VB', 'JJ', ',', 'IN', 'VBG', 'DT', 'NN', 'IN', 'IN', 'DT', 'NN', 'NN', '.']"
"['They', 'call', 'him', 'Fitty', 'Cent']","['They', 'call', 'him', 'Fitty', 'Cent', ',', 'and', 'in', 'other', 'cases', 'it', 'was', 'the', 'evacuation', 'itself', 'that', 'proved', 'fatal']","['PRP', 'VBP', 'PRP', 'NNP', 'NN']","['PRP', 'VBP', 'PRP', 'NNP', 'NNP', ',', 'CC', 'IN', 'JJ', 'NNS', 'PRP', 'VBD', 'DT', 'NN', 'PRP', 'WDT', 'VBD', 'JJ']"
"['They', 'call', 'him', 'Fitty', 'Cent']","['They', 'call', 'him', 'Fitty', 'Cent', ',', 'and', 'but', 'for', 'the', 'first', 'couple', 'days', 'I', 'noticed', 'it', 'was', ""n't"", 'that', 'much', 'of', 'a', 'television', 'story']","['PRP', 'VBP', 'PRP', 'NNP', 'NN']","['PRP', 'VBP', 'PRP', 'NNP', 'NNP', ',', 'CC', 'CC', 'IN', 'DT', 'JJ', 'NN', 'NNS', 'PRP', 'VBD', 'PRP', 'VBD', 'RB', 'RB', 'JJ', 'IN', 'DT', 'NN', 'NN']"
"['They', 'call', 'him', 'Fitty', 'Cent']","['They', 'call', 'him', 'Fitty', 'Cent', ',', 'and', 'closely', 'linked', '.']","['PRP', 'VBP', 'PRP', 'NNP', 'NN']","['PRP', 'VBP', 'PRP', 'NNP', 'NNP', ',', 'CC', 'RB', 'VBN', '.']"
"['They', 'call', 'him', 'Fitty', 'Cent']","['They', 'call', 'him', 'Fitty', 'Cent', ',', 'and', 'and', 'I', 'can', 'assure', 'you', 'we', ""'re"", 'going', 'to', 'drive', 'with', 'a', 'great', 'deal', 'of', 'energy', 'and', 'determination']","['PRP', 'VBP', 'PRP', 'NNP', 'NN']","['PRP', 'VBP', 'PRP', 'NNP', 'NNP', ',', 'CC', 'CC', 'PRP', 'MD', 'VB', 'PRP', 'PRP', 'VBP', 'VBG', 'TO', 'VB', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NN', 'CC', 'NN']"
"['During', 'the', '1988', 'second', 'half', ',', 'many', 'companies', 'posted', 'record', 'gasoline', 'and', 'chemical', 'profits', '.']","['During', 'the', '1988', 'second', 'half', ',', 'many', 'companies', 'posted', 'record', 'gasoline', 'and', 'chemical', 'profits', ',', 'and', 'excluding', 'these', 'orders', ',', 'backlogs', 'declined', '0.3', '%', '.']","['IN', 'DT', 'CD', 'JJ', 'NN', ',', 'JJ', 'NNS', 'VBD', 'JJ', 'NN', 'CC', 'JJ', 'NNS']","['IN', 'DT', 'CD', 'JJ', 'NN', ',', 'JJ', 'NNS', 'VBD', 'JJ', 'NN', 'CC', 'NN', 'NNS', ',', 'CC', 'VBG', 'DT', 'NNS', ',', 'NNS', 'VBD', 'CD', 'NN', '.']"
