source_input,follow_input,target_output,follow_output
"['But', 'GMAC', 'approved', 'the', 'Buick', 'program', ',', 'he', 'says', ',', 'because', 'the', 'American', 'Express', 'green', 'card', 'requires', 'payment', 'in', 'full', 'upon', 'billing', ',', 'and', 'so', 'does', ""n't"", 'carry', 'any', 'finance', 'rates', '.']","['Because', 'the', 'American', 'Express', 'green', 'card', 'requires', 'payment', 'in', 'full', 'upon', 'billing', ',', 'but', 'GMAC', 'approved', 'the', 'Buick', 'program', ',', 'he', 'says', ',', 'and', 'so', 'does', ""n't"", 'carry', 'any', 'finance', 'rates', '.']","['IN', 'DT', 'NNP', 'NNP', 'JJ', 'NN', 'VBZ', 'NN', 'IN', 'JJ', 'IN', 'NN', ',', 'CC', 'NNP', 'VBD', 'DT', 'NNP', 'NN', ',', 'PRP', 'VBZ', ',', 'CC', 'RB', 'VBZ', 'RB', 'VB', 'DT', 'NN', 'NNS', '.']","['IN', 'DT', 'NNP', 'NNP', 'JJ', 'NN', 'VBZ', 'NN', 'IN', 'JJ', 'IN', 'NN', ',', 'CC', 'NNP', 'VBD', 'DT', 'NNP', 'NN', ',', 'PRP', 'VBZ', ',', 'CC', 'RB', 'VBZ', 'RB', 'VB', 'DT', 'NN', 'NNS', '.']"
"['The', 'RJR', 'spokesman', 'said', 'the', 'company', 'moved', 'the', '11', 'employees', 'to', 'New', 'York', 'last', 'month', 'because', 'the', 'group', 'had', 'then', 'been', 'in', 'the', 'midst', 'of', 'purchasing', 'ad', 'time', 'for', 'the', 'networks', ""'"", 'upcoming', 'season', '.']","['Because', 'the', 'group', 'had', 'then', 'been', 'in', 'the', 'midst', 'of', 'purchasing', 'ad', 'time', 'for', 'the', 'networks', ""'"", 'upcoming', 'season', ',', 'the', 'RJR', 'spokesman', 'said', 'the', 'company', 'moved', 'the', '11', 'employees', 'to', 'New', 'York', 'last', 'month', '.']","['IN', 'DT', 'NN', 'VBD', 'RB', 'VBN', 'IN', 'DT', 'NN', 'IN', 'VBG', 'NN', 'NN', 'IN', 'DT', 'NNS', 'POS', 'NN', 'NN', ',', 'DT', 'NNP', 'NN', 'VBD', 'DT', 'NN', 'VBD', 'DT', 'CD', 'NNS', 'TO', 'NNP', 'NNP', 'JJ', 'NN', '.']","['IN', 'DT', 'NN', 'VBD', 'RB', 'VBN', 'IN', 'DT', 'NN', 'IN', 'VBG', 'NN', 'NN', 'IN', 'DT', 'NNS', 'POS', 'NN', 'NN', ',', 'DT', 'NNP', 'NN', 'VBD', 'DT', 'NN', 'VBD', 'DT', 'CD', 'NNS', 'TO', 'NNP', 'NNP', 'JJ', 'NN', '.']"
"['I', 'always', 'thought', 'the', 'best', 'compliment', 'you', 'could', 'get', 'as', 'a', 'journalist', 'is', 'when', 'you', 'told', 'the', 'Lebanese', 'something', 'they', 'did', ""n't"", 'know', 'because', 'you', 'were', 'moving', 'around', 'so', 'much']","['Because', 'you', 'were', 'moving', 'around', 'so', 'much', ',', 'I', 'always', 'thought', 'the', 'best', 'compliment', 'you', 'could', 'get', 'as', 'a', 'journalist', 'is', 'when', 'you', 'told', 'the', 'Lebanese', 'something', 'they', 'did', ""n't"", 'know', '.']","['IN', 'PRP', 'VBD', 'VBG', 'RB', 'RB', 'JJ', ',', 'PRP', 'RB', 'VBD', 'DT', 'JJS', 'NN', 'PRP', 'MD', 'VB', 'IN', 'DT', 'NN', 'VBZ', 'WRB', 'PRP', 'VBD', 'DT', 'JJ', 'NN', 'PRP', 'VBD', 'RB', 'VB', '.']","['IN', 'PRP', 'VBD', 'VBG', 'RB', 'RB', 'JJ', ',', 'PRP', 'RB', 'VBD', 'DT', 'JJS', 'NN', 'PRP', 'MD', 'VB', 'IN', 'DT', 'NN', 'VBZ', 'WRB', 'PRP', 'VBD', 'DT', 'JJ', 'NN', 'PRP', 'VBD', 'RB', 'VB', '.']"
"['Jesus', 'saw', 'the', 'many', 'people', 'and', 'felt', 'sorry', 'for', 'them', 'because', 'they', 'were', 'worried', 'and', 'helpless', '--', 'like', 'sheep', 'without', 'a', 'shepherd', 'to', 'lead', 'them', '.']","['Because', 'they', 'were', 'worried', 'and', 'helpless', '--', 'like', 'sheep', 'without', 'a', 'shepherd', 'to', 'lead', 'them', ',', 'jesus', 'saw', 'the', 'many', 'people', 'and', 'felt', 'sorry', 'for', 'them', '.']","['IN', 'PRP', 'VBD', 'VBN', 'CC', 'JJ', ':', 'IN', 'NN', 'IN', 'DT', 'NN', 'TO', 'VB', 'PRP', ',', 'NN', 'VBD', 'DT', 'JJ', 'NNS', 'CC', 'VBD', 'NN', 'IN', 'PRP', '.']","['IN', 'PRP', 'VBD', 'VBN', 'CC', 'JJ', ':', 'IN', 'NN', 'IN', 'DT', 'NN', 'TO', 'VB', 'PRP', ',', 'NN', 'VBD', 'DT', 'JJ', 'NNS', 'CC', 'VBD', 'NN', 'IN', 'PRP', '.']"
"['Because', 'of', 'the', 'UAL', 'and', 'AMR', 'tumbles', ',', 'airlines', 'were', 'the', 'weakest', 'sector', 'of', 'the', 'market', 'yesterday', '.']","['Airlines', 'were', 'the', 'weakest', 'sector', 'of', 'the', 'market', 'yesterday', ',', 'because', 'of', 'the', 'UAL', 'and', 'AMR', 'tumbles', '.']","['NNS', 'VBD', 'DT', 'JJS', 'NN', 'IN', 'DT', 'NN', 'NN', ',', 'IN', 'IN', 'DT', 'NNP', 'CC', 'NNP', 'NNS', '.']","['NNS', 'VBD', 'DT', 'JJS', 'NN', 'IN', 'DT', 'NN', 'NN', ',', 'IN', 'IN', 'DT', 'NNP', 'CC', 'NNP', 'NNS', '.']"
"['He', 'likens', 'Chen', 'to', 'the', 'staunchly', 'anti-communist', 'Richard', 'Nixon', ',', 'who', 'was', 'able', 'to', 'normalize', 'ties', 'with', 'the', 'Chinese', 'Communists', 'precisely', 'because', 'he', 'was', 'trusted', 'by', 'the', 'American', 'people', '.']","['Because', 'he', 'was', 'trusted', 'by', 'the', 'American', 'people', ',', 'he', 'likens', 'Chen', 'to', 'the', 'staunchly', 'anti-communist', 'Richard', 'Nixon', ',', 'who', 'was', 'able', 'to', 'normalize', 'ties', 'with', 'the', 'Chinese', 'Communists', 'precisely', '.']","['IN', 'PRP', 'VBD', 'VBN', 'IN', 'DT', 'JJ', 'NNS', ',', 'PRP', 'VBZ', 'NNP', 'TO', 'DT', 'JJ', 'JJ', 'NNP', 'NNP', ',', 'WP', 'VBD', 'JJ', 'TO', 'VB', 'NNS', 'IN', 'DT', 'JJ', 'NNS', 'RB', '.']","['IN', 'PRP', 'VBD', 'VBN', 'IN', 'DT', 'JJ', 'NNS', ',', 'PRP', 'VBZ', 'NNP', 'TO', 'DT', 'JJ', 'JJ', 'NNP', 'NNP', ',', 'WP', 'VBD', 'JJ', 'TO', 'VB', 'NNS', 'IN', 'DT', 'JJ', 'NNPS', 'RB', '.']"
"['The', 'pope', 'has', 'to', 'be', 'Jewish', 'because', 'the', 'false', 'prophet', 'will', 'point', 'the', 'Jews', 'to', 'a', 'Gentile', 'world', 'leader', '.']","['Because', 'the', 'false', 'prophet', 'will', 'point', 'the', 'Jews', 'to', 'a', 'Gentile', 'world', 'leader', ',', 'the', 'pope', 'has', 'to', 'be', 'Jewish', '.']","['IN', 'DT', 'JJ', 'NN', 'MD', 'VB', 'DT', 'NNPS', 'TO', 'DT', 'NNP', 'NN', 'NN', ',', 'DT', 'NN', 'VBZ', 'TO', 'VB', 'JJ', '.']","['IN', 'DT', 'JJ', 'NN', 'MD', 'VB', 'DT', 'NNPS', 'TO', 'DT', 'NNP', 'NN', 'NN', ',', 'DT', 'NN', 'VBZ', 'TO', 'VB', 'JJ', '.']"
"['Speaking', 'last', 'night', 'to', 'Democratic', 'supporters', 'in', 'Chicago', ',', 'the', 'President', 'said', 'Bush', 'won', 'the', 'election', 'only', 'because', 'Republicans', 'stopped', 'the', 'vote', '-', 'counting', 'in', 'Florida', ',', 'and', 'Mr.', 'Clinton', 'praised', 'Al', 'Gore', ""'s"", 'campaign', 'manager', ',', 'Bill', 'Daley', ',', 'for', 'the', 'way', 'he', 'handled', 'the', 'election', '.']","['Because', 'Republicans', 'stopped', 'the', 'vote', '-', 'counting', 'in', 'Florida', ',', 'speaking', 'last', 'night', 'to', 'Democratic', 'supporters', 'in', 'Chicago', ',', 'the', 'President', 'said', 'Bush', 'won', 'the', 'election', 'only', ',', 'and', 'Mr.', 'Clinton', 'praised', 'Al', 'Gore', ""'s"", 'campaign', 'manager', ',', 'Bill', 'Daley', ',', 'for', 'the', 'way', 'he', 'handled', 'the', 'election', '.']","['IN', 'NNPS', 'VBD', 'DT', 'NN', ':', 'NN', 'IN', 'NNP', ',', 'VBG', 'JJ', 'NN', 'TO', 'JJ', 'NNS', 'IN', 'NNP', ',', 'DT', 'NNP', 'VBD', 'NNP', 'VBD', 'DT', 'NN', 'RB', ',', 'CC', 'NNP', 'NNP', 'VBD', 'NNP', 'NNP', 'POS', 'NN', 'NN', ',', 'NNP', 'NNP', ',', 'IN', 'DT', 'NN', 'PRP', 'VBD', 'DT', 'NN', '.']","['IN', 'NNPS', 'VBD', 'DT', 'NN', ':', 'NN', 'IN', 'NNP', ',', 'VBG', 'JJ', 'NN', 'TO', 'JJ', 'NNS', 'IN', 'NNP', ',', 'DT', 'NNP', 'VBD', 'NNP', 'VBD', 'DT', 'NN', 'RB', ',', 'CC', 'NNP', 'NNP', 'VBD', 'NNP', 'NNP', 'POS', 'NN', 'NN', ',', 'NNP', 'NNP', ',', 'IN', 'DT', 'NN', 'PRP', 'VBD', 'DT', 'NN', '.']"
"['They', 'had', 'the', 'doors', 'locked', 'because', 'they', 'were', 'afraid', 'of', 'the', 'Jewish', 'leaders', '.']","['Because', 'they', 'were', 'afraid', 'of', 'the', 'Jewish', 'leaders', ',', 'they', 'had', 'the', 'doors', 'locked', '.']","['IN', 'PRP', 'VBD', 'JJ', 'IN', 'DT', 'JJ', 'NNS', ',', 'PRP', 'VBD', 'DT', 'NNS', 'VBN', '.']","['IN', 'PRP', 'VBD', 'JJ', 'IN', 'DT', 'JJ', 'NNS', ',', 'PRP', 'VBD', 'DT', 'NNS', 'VBD', '.']"
"['I', 'was', 'afraid', 'of', 'you', 'because', 'you', 'are', 'a', 'hard', 'man', '.']","['Because', 'you', 'are', 'a', 'hard', 'man', ',', 'I', 'was', 'afraid', 'of', 'you', '.']","['IN', 'PRP', 'VBP', 'DT', 'JJ', 'NN', ',', 'PRP', 'VBD', 'JJ', 'IN', 'PRP', '.']","['IN', 'PRP', 'VBP', 'DT', 'JJ', 'NN', ',', 'PRP', 'VBD', 'JJ', 'IN', 'PRP', '.']"
