source_input,follow_input,target_output,follow_output
"['They', 'just', 'needed', 'reassurance', 'because', 'a', 'lot', 'of', 'them', 'were', 'scared']","['Because', 'a', 'lot', 'of', 'them', 'were', 'scared', ',', 'they', 'just', 'needed', 'reassurance', '.']","['IN', 'DT', 'NN', 'IN', 'PRP', 'VBD', 'JJ', ',', 'PRP', 'RB', 'VBD', 'NN', '.']","['IN', 'DT', 'NN', 'IN', 'PRP', 'VBD', 'JJ', ',', 'PRP', 'RB', 'VBD', 'NN', '.']"
"['That', 'was', 'ridiculous', 'because', 'everyone', 'was', 'just', 'as', 'happy']","['Because', 'everyone', 'was', 'just', 'as', 'happy', ',', 'that', 'was', 'ridiculous', '.']","['IN', 'NN', 'VBD', 'RB', 'RB', 'JJ', ',', 'DT', 'VBD', 'JJ', '.']","['IN', 'NN', 'VBD', 'RB', 'RB', 'JJ', ',', 'DT', 'VBD', 'JJ', '.']"
"['Because', 'the', 'legislation', 'has', ""n't"", 'been', 'completed', ',', 'President', 'Bush', 'has', 'until', 'midnight', 'tonight', 'to', 'enact', 'across', '-', 'the', '-', 'board', 'spending', 'cuts', 'mandated', 'by', 'the', 'Gramm', '-', 'Rudman', 'deficit', '-', 'reduction', 'law', '.']","['President', 'Bush', 'has', 'until', 'midnight', 'tonight', 'to', 'enact', 'across', '-', 'the', '-', 'board', 'spending', 'cuts', 'mandated', 'by', 'the', 'Gramm', '-', 'Rudman', 'deficit', '-', 'reduction', 'law', ',', 'because', 'the', 'legislation', 'has', ""n't"", 'been', 'completed', '.']","['NNP', 'NNP', 'VBZ', 'IN', 'NN', 'NN', 'TO', 'VB', 'IN', 'HYPH', 'DT', 'HYPH', 'NN', 'NN', 'NNS', 'VBN', 'IN', 'DT', 'NNP', 'HYPH', 'NNP', 'NN', 'HYPH', 'NN', 'NN', ',', 'IN', 'DT', 'NN', 'VBZ', 'RB', 'VBN', 'VBN', '.']","['NNP', 'NNP', 'VBZ', 'IN', 'NN', 'NN', 'TO', 'VB', 'IN', 'HYPH', 'DT', 'HYPH', 'NN', 'NN', 'NNS', 'VBN', 'IN', 'DT', 'NNP', 'HYPH', 'NNP', 'NN', 'HYPH', 'NN', 'NN', ',', 'IN', 'DT', 'NN', 'VBZ', 'RB', 'VBN', 'VBN', '.']"
"['Their', 'sacrifices', 'make', 'them', 'remember', 'their', 'sins', 'every', 'year', ',', 'because', 'it', 'is', 'not', 'possible', 'for', 'the', 'blood', 'of', 'bulls', 'and', 'goats', 'to', 'take', 'away', 'sins', '.']","['Because', 'it', 'is', 'not', 'possible', 'for', 'the', 'blood', 'of', 'bulls', 'and', 'goats', 'to', 'take', 'away', 'sins', ',', 'their', 'sacrifices', 'make', 'them', 'remember', 'their', 'sins', 'every', 'year', '.']","['IN', 'PRP', 'VBZ', 'RB', 'JJ', 'IN', 'DT', 'NN', 'IN', 'NNS', 'CC', 'NNS', 'TO', 'VB', 'RB', 'NNS', ',', 'PRP$', 'NNS', 'VBP', 'PRP', 'VB', 'PRP$', 'NNS', 'DT', 'NN', '.']","['IN', 'PRP', 'VBZ', 'RB', 'JJ', 'IN', 'DT', 'NN', 'IN', 'NNS', 'CC', 'NNS', 'TO', 'VB', 'RB', 'NNS', ',', 'PRP$', 'NNS', 'VBP', 'PRP', 'VB', 'PRP$', 'NNS', 'DT', 'NN', '.']"
"['If', 'this', 'seems', 'like', 'pretty', 'weak', 'stuff', 'around', 'which', 'to', 'raise', 'the', 'protectionist', 'barriers', ',', 'it', 'may', 'be', 'because', 'these', 'shows', 'need', 'all', 'the', 'protection', 'they', 'can', 'get', '.']","['Because', 'these', 'shows', 'need', 'all', 'the', 'protection', 'they', 'can', 'get', ',', 'if', 'this', 'seems', 'like', 'pretty', 'weak', 'stuff', 'around', 'which', 'to', 'raise', 'the', 'protectionist', 'barriers', ',', 'it', 'may', 'be', '.']","['IN', 'DT', 'NNS', 'VBP', 'PDT', 'DT', 'NN', 'PRP', 'MD', 'VB', ',', 'IN', 'DT', 'VBZ', 'IN', 'RB', 'JJ', 'NN', 'IN', 'WDT', 'TO', 'VB', 'DT', 'JJ', 'NNS', ',', 'PRP', 'MD', 'VB', '.']","['IN', 'DT', 'NNS', 'VBP', 'PDT', 'DT', 'NN', 'PRP', 'MD', 'VB', ',', 'IN', 'DT', 'VBZ', 'IN', 'RB', 'JJ', 'NN', 'IN', 'WDT', 'TO', 'VB', 'DT', 'JJ', 'NNS', ',', 'PRP', 'MD', 'VB', '.']"
"['And', 'I', 'saw', 'the', 'souls', 'of', 'those', 'who', 'had', 'been', 'killed', 'because', 'they', 'were', 'faithful', 'to', 'the', 'truth', 'of', 'Jesus', 'and', 'the', 'message', 'from', 'God', '.']","['Because', 'they', 'were', 'faithful', 'to', 'the', 'truth', 'of', 'Jesus', 'and', 'the', 'message', 'from', 'God', ',', 'and', 'I', 'saw', 'the', 'souls', 'of', 'those', 'who', 'had', 'been', 'killed', '.']","['IN', 'PRP', 'VBD', 'JJ', 'IN', 'DT', 'NN', 'IN', 'NNP', 'CC', 'DT', 'NN', 'IN', 'NNP', ',', 'CC', 'PRP', 'VBD', 'DT', 'NNS', 'IN', 'DT', 'WP', 'VBD', 'VBN', 'VBN', '.']","['IN', 'PRP', 'VBD', 'JJ', 'IN', 'DT', 'NN', 'IN', 'NNP', 'CC', 'DT', 'NN', 'IN', 'NNP', ',', 'CC', 'PRP', 'VBD', 'DT', 'NNS', 'IN', 'DT', 'WP', 'VBD', 'VBN', 'VBN', '.']"
"['Panama', 'was', 'stripped', 'of', 'this', 'right', 'because', 'of', 'U.S.', 'differences', 'with', 'the', 'Noriega', 'regime', ',', 'but', 'the', 'Central', 'American', 'country', 'would', 'have', 'received', 'a', 'quota', 'of', '30,537', 'metric', 'tons', 'over', 'a', '21', '-', 'month', 'period', 'ending', 'Sept.', '30', ',', '1990', '.']","['Because', 'of', 'U.S.', 'differences', 'with', 'the', 'Noriega', 'regime', ',', 'panama', 'was', 'stripped', 'of', 'this', 'right', ',', 'but', 'the', 'Central', 'American', 'country', 'would', 'have', 'received', 'a', 'quota', 'of', '30,537', 'metric', 'tons', 'over', 'a', '21', '-', 'month', 'period', 'ending', 'Sept.', '30', ',', '1990', '.']","['IN', 'IN', 'NNP', 'NNS', 'IN', 'DT', 'NNP', 'NN', ',', 'NNP', 'VBD', 'VBN', 'IN', 'DT', 'NN', ',', 'CC', 'DT', 'JJ', 'JJ', 'NN', 'MD', 'VB', 'VBN', 'DT', 'NN', 'IN', 'CD', 'JJ', 'NNS', 'IN', 'DT', 'CD', 'HYPH', 'NN', 'NN', 'VBG', 'NNP', 'CD', ',', 'CD', '.']","['IN', 'IN', 'NNP', 'NNS', 'IN', 'DT', 'NNP', 'NN', ',', 'NN', 'VBD', 'VBN', 'IN', 'DT', 'NN', ',', 'CC', 'DT', 'JJ', 'JJ', 'NN', 'MD', 'VB', 'VBN', 'DT', 'NN', 'IN', 'CD', 'JJ', 'NNS', 'IN', 'DT', 'CD', 'HYPH', 'NN', 'NN', 'VBG', 'NNP', 'CD', ',', 'CD', '.']"
"['Told', 'her', 'that', 'she', 'could', ""n't"", 'talk', 'to', 'Jasmine', 'play', 'with', 'Jasmine', 'because', 'she', 'said', 'she', 'hurt', 'Jasmine', ""'s"", 'Jetta', 'you', 'know']","['Because', 'she', 'said', 'she', 'hurt', 'Jasmine', ""'s"", 'Jetta', 'you', 'know', ',', 'told', 'her', 'that', 'she', 'could', ""n't"", 'talk', 'to', 'Jasmine', 'play', 'with', 'Jasmine', '.']","['IN', 'PRP', 'VBD', 'PRP', 'VBD', 'NNP', 'POS', 'NNP', 'PRP', 'VBP', ',', 'VBD', 'PRP', 'IN', 'PRP', 'MD', 'RB', 'VB', 'IN', 'NNP', 'VB', 'IN', 'NNP', '.']","['IN', 'PRP', 'VBD', 'PRP', 'VBD', 'NNP', 'POS', 'NNP', 'PRP', 'VBP', ',', 'VBD', 'PRP', 'IN', 'PRP', 'MD', 'RB', 'VB', 'IN', 'NNP', 'VB', 'IN', 'NNP', '.']"
"['So', 'I', 'was', 'really', 'nervous', 'about', 'that', 'because', 'when', 'did', 'we', 'ever', 'do', 'a', 'buffet']","['Because', 'when', 'did', 'we', 'ever', 'do', 'a', 'buffet', ',', 'so', 'I', 'was', 'really', 'nervous', 'about', 'that', '.']","['IN', 'WRB', 'VBD', 'PRP', 'RB', 'VB', 'DT', 'NN', ',', 'RB', 'PRP', 'VBD', 'RB', 'JJ', 'IN', 'DT', '.']","['IN', 'WRB', 'VBD', 'PRP', 'RB', 'VB', 'DT', 'NN', ',', 'CC', 'PRP', 'VBD', 'RB', 'JJ', 'IN', 'DT', '.']"
"['He', 'did', ""n't"", 'want', 'to', 'do', 'this', ',', 'because', 'he', 'was', 'very', 'rich', '.']","['Because', 'he', 'was', 'very', 'rich', ',', 'he', 'did', ""n't"", 'want', 'to', 'do', 'this', '.']","['IN', 'PRP', 'VBD', 'RB', 'JJ', ',', 'PRP', 'VBD', 'RB', 'VB', 'TO', 'VB', 'DT', '.']","['IN', 'PRP', 'VBD', 'RB', 'JJ', ',', 'PRP', 'VBD', 'RB', 'VB', 'TO', 'VB', 'DT', '.']"
