source_input,follow_input,target_output,follow_output
"['Panama', 'was', 'stripped', 'of', 'this', 'right', 'because', 'of', 'U.S.', 'differences', 'with', 'the', 'Noriega', 'regime', ',', 'but', 'the', 'Central', 'American', 'country', 'would', 'have', 'received', 'a', 'quota', 'of', '30,537', 'metric', 'tons', 'over', 'a', '21', '-', 'month', 'period', 'ending', 'Sept.', '30', ',', '1990', '.']","['Because', 'of', 'U.S.', 'differences', 'with', 'the', 'Noriega', 'regime', ',', 'panama', 'was', 'stripped', 'of', 'this', 'right', ',', 'but', 'the', 'Central', 'American', 'country', 'would', 'have', 'received', 'a', 'quota', 'of', '30,537', 'metric', 'tons', 'over', 'a', '21', '-', 'month', 'period', 'ending', 'Sept.', '30', ',', '1990', '.']","['IN', 'IN', 'NNP', 'NNS', 'IN', 'DT', 'NNP', 'NN', ',', 'NNP', 'VBD', 'VBN', 'IN', 'DT', 'NN', ',', 'CC', 'DT', 'JJ', 'JJ', 'NN', 'MD', 'VB', 'VBN', 'DT', 'NN', 'IN', 'CD', 'JJ', 'NNS', 'IN', 'DT', 'CD', 'HYPH', 'NN', 'NN', 'VBG', 'NNP', 'CD', ',', 'CD', '.']","['IN', 'IN', 'NNP', 'NNS', 'IN', 'DT', 'NNP', 'NN', ',', 'NN', 'VBD', 'VBN', 'IN', 'DT', 'NN', ',', 'CC', 'DT', 'JJ', 'JJ', 'NN', 'MD', 'VB', 'VBN', 'DT', 'NN', 'IN', 'CD', 'JJ', 'NNS', 'IN', 'DT', 'CD', 'HYPH', 'NN', 'NN', 'VBG', 'NNP', 'CD', ',', 'CD', '.']"
"['So', 'I', 'was', 'really', 'nervous', 'about', 'that', 'because', 'when', 'did', 'we', 'ever', 'do', 'a', 'buffet']","['Because', 'when', 'did', 'we', 'ever', 'do', 'a', 'buffet', ',', 'so', 'I', 'was', 'really', 'nervous', 'about', 'that', '.']","['IN', 'WRB', 'VBD', 'PRP', 'RB', 'VB', 'DT', 'NN', ',', 'RB', 'PRP', 'VBD', 'RB', 'JJ', 'IN', 'DT', '.']","['IN', 'WRB', 'VBD', 'PRP', 'RB', 'VB', 'DT', 'NN', ',', 'CC', 'PRP', 'VBD', 'RB', 'JJ', 'IN', 'DT', '.']"
"['So', 'it', 'was', 'kind', 'of', 'upsetting', 'because', 'I', 'had', 'hoped', 'that', 'we', 'could', 'do', 'some', 'other', 'fun', 'things', 'together', '.']","['Because', 'I', 'had', 'hoped', 'that', 'we', 'could', 'do', 'some', 'other', 'fun', 'things', 'together', ',', 'it', 'was', 'kind', 'of', 'upsetting', '.']","['IN', 'PRP', 'VBD', 'VBN', 'IN', 'PRP', 'MD', 'VB', 'DT', 'JJ', 'JJ', 'NNS', 'RB', ',', 'PRP', 'VBD', 'RB', 'RB', 'JJ', '.']","['IN', 'PRP', 'VBD', 'VBN', 'IN', 'PRP', 'MD', 'VB', 'DT', 'JJ', 'NN', 'NNS', 'RB', ',', 'PRP', 'VBD', 'RB', 'RB', 'JJ', '.']"
"['But', 'I', 'have', 'to', 'make', 'up', 'my', 'mind', 'here', 'by', 'Friday', 'because', 'that', ""'s"", 'when', 'I', 'can', 'hold', 'my', 'ticket', 'too', '.']","['Because', 'that', ""'s"", 'when', 'I', 'can', 'hold', 'my', 'ticket', 'too', ',', 'but', 'I', 'have', 'to', 'make', 'up', 'my', 'mind', 'here', 'by', 'Friday', '.']","['IN', 'DT', 'VBZ', 'WRB', 'PRP', 'MD', 'VB', 'PRP$', 'NN', 'IN', ',', 'CC', 'PRP', 'VBP', 'TO', 'VB', 'RP', 'PRP$', 'NN', 'RB', 'IN', 'NNP', '.']","['IN', 'DT', 'VBZ', 'WRB', 'PRP', 'MD', 'VB', 'PRP$', 'NN', 'RB', ',', 'CC', 'PRP', 'VBP', 'TO', 'VB', 'RP', 'PRP$', 'NN', 'RB', 'IN', 'NNP', '.']"
"['Gensets', 'had', 'to', 'be', 'drastically', 'oversized', 'to', 'handle', 'UPS', 'because', 'the', 'gensets', 'did', ""n't"", 'like', 'the', 'harmonics', 'that', 'UPS', 'drew', '.']","['Because', 'the', 'gensets', 'did', ""n't"", 'like', 'the', 'harmonics', 'that', 'UPS', 'drew', ',', 'gensets', 'had', 'to', 'be', 'drastically', 'oversized', 'to', 'handle', 'UPS', '.']","['IN', 'DT', 'NNS', 'VBD', 'RB', 'VB', 'DT', 'NNS', 'IN', 'NNP', 'VBD', ',', 'NNS', 'VBD', 'TO', 'VB', 'RB', 'VBN', 'TO', 'VB', 'NNP', '.']","['IN', 'DT', 'NNS', 'VBD', 'RB', 'VB', 'DT', 'NNS', 'WDT', 'NNP', 'VBD', ',', 'NNS', 'VBD', 'TO', 'VB', 'RB', 'VBN', 'TO', 'VB', 'NNP', '.']"
"['The', 'reason', 'the', 'whole', 'subprime', 'market', 'was', 'so', 'attractive', 'was', 'because', 'of', 'the', 'unregulated', 'ability', 'to', 'suck', 'people', 'into', 'thinking', 'they', 'could', 'afford', 'something', 'they', 'could', ""n't"", 'and', 'by', 'the', 'time', 'they', 'realized', 'it', ',', 'it', 'would', 'be', 'someone', 'else', ""'s"", 'problem', '.']","['Because', 'of', 'the', 'unregulated', 'ability', 'to', 'suck', 'people', 'into', 'thinking', 'they', 'could', 'afford', 'something', 'they', 'could', ""n't"", 'and', 'by', 'the', 'time', 'they', 'realized', 'it', ',', 'the', 'reason', 'the', 'whole', 'subprime', 'market', 'was', 'so', 'attractive', 'was', ',', 'it', 'would', 'be', 'someone', 'else', ""'s"", 'problem', '.']","['IN', 'IN', 'DT', 'JJ', 'NN', 'TO', 'VB', 'NNS', 'IN', 'VBG', 'PRP', 'MD', 'VB', 'NN', 'PRP', 'MD', 'RB', 'CC', 'IN', 'DT', 'NN', 'PRP', 'VBD', 'PRP', ',', 'DT', 'NN', 'DT', 'JJ', 'NN', 'NN', 'VBD', 'RB', 'JJ', 'VBD', ',', 'PRP', 'MD', 'VB', 'NN', 'RB', 'POS', 'NN', '.']","['IN', 'IN', 'DT', 'JJ', 'NN', 'TO', 'VB', 'NNS', 'IN', 'VBG', 'PRP', 'MD', 'VB', 'NN', 'PRP', 'MD', 'RB', 'CC', 'IN', 'DT', 'NN', 'PRP', 'VBD', 'PRP', ',', 'DT', 'NN', 'DT', 'JJ', 'JJ', 'NN', 'VBD', 'RB', 'JJ', 'VBD', ',', 'PRP', 'MD', 'VB', 'NN', 'RB', 'POS', 'NN', '.']"
"['Others', 'note', 'that', 'some', 'investors', 'were', 'disappointed', 'because', 'they', 'had', 'expected', 'a', 'more', 'aggressive', 'easing', '.']","['Because', 'they', 'had', 'expected', 'a', 'more', 'aggressive', 'easing', ',', 'others', 'note', 'that', 'some', 'investors', 'were', 'disappointed', '.']","['IN', 'PRP', 'VBD', 'VBN', 'DT', 'RBR', 'JJ', 'NN', ',', 'NNS', 'VBP', 'IN', 'DT', 'NNS', 'VBD', 'VBN', '.']","['IN', 'PRP', 'VBD', 'VBN', 'DT', 'RBR', 'JJ', 'NN', ',', 'NNS', 'VBP', 'IN', 'DT', 'NNS', 'VBD', 'JJ', '.']"
"['And', 'the', 'suggestion', 'was', 'well', 'CEOs', 'love', 'you', ',', 'you', ""'re"", 'asked', 'to', 'speak', 'at', 'all', 'these', 'corporate', 'events', ',', 'maybe', 'because', 'you', 'give', 'them', 'a', 'very', 'large', 'uh', 'share', 'of', 'the', 'narrative']","['Because', 'you', 'give', 'them', 'a', 'very', 'large', 'uh', 'share', 'of', 'the', 'narrative', ',', 'and', 'the', 'suggestion', 'was', 'well', 'CEOs', 'love', 'you', ',', 'you', ""'re"", 'asked', 'to', 'speak', 'at', 'all', 'these', 'corporate', 'events', ',', 'maybe', '.']","['IN', 'PRP', 'VBP', 'PRP', 'DT', 'RB', 'JJ', 'UH', 'NN', 'IN', 'DT', 'NN', ',', 'CC', 'DT', 'NN', 'VBD', 'UH', 'NNS', 'VBP', 'PRP', ',', 'PRP', 'VBP', 'VBN', 'TO', 'VB', 'IN', 'PDT', 'DT', 'JJ', 'NNS', ',', 'RB', '.']","['IN', 'PRP', 'VBP', 'PRP', 'DT', 'RB', 'JJ', 'UH', 'NN', 'IN', 'DT', 'NN', ',', 'CC', 'DT', 'NN', 'VBD', 'RB', 'NNS', 'VBP', 'PRP', ',', 'PRP', 'VBP', 'VBN', 'TO', 'VB', 'IN', 'PDT', 'DT', 'JJ', 'NNS', ',', 'RB', '.']"
"['Justice', 'Stevens', ',', '69', ',', 'is', 'probably', 'the', 'most', 'philosophical', 'of', 'the', 'dissenters', 'about', 'his', 'role', ',', 'in', 'part', 'because', 'he', 'may', 'be', 'the', 'least', 'liberal', 'of', 'the', 'four', ',', 'but', 'also', 'because', 'he', 'enjoys', 'the', 'intellectual', 'challenge', 'of', 'arguing', 'with', 'the', 'majority', 'more', 'than', 'the', 'others', '.']","['Because', 'he', 'may', 'be', 'the', 'least', 'liberal', 'of', 'the', 'four', ',', 'justice', 'Stevens', ',', '69', ',', 'is', 'probably', 'the', 'most', 'philosophical', 'of', 'the', 'dissenters', 'about', 'his', 'role', ',', 'in', 'part', ',', 'but', 'also', 'because', 'he', 'enjoys', 'the', 'intellectual', 'challenge', 'of', 'arguing', 'with', 'the', 'majority', 'more', 'than', 'the', 'others', '.']","['IN', 'PRP', 'MD', 'VB', 'DT', 'JJS', 'JJ', 'IN', 'DT', 'CD', ',', 'NNP', 'NNP', ',', 'CD', ',', 'VBZ', 'RB', 'DT', 'RBS', 'JJ', 'IN', 'DT', 'NNS', 'IN', 'PRP$', 'NN', ',', 'IN', 'NN', ',', 'CC', 'RB', 'IN', 'PRP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'VBG', 'IN', 'DT', 'NN', 'JJR', 'IN', 'DT', 'NNS', '.']","['IN', 'PRP', 'MD', 'VB', 'DT', 'JJS', 'JJ', 'IN', 'DT', 'CD', ',', 'NN', 'NNP', ',', 'CD', ',', 'VBZ', 'RB', 'DT', 'RBS', 'JJ', 'IN', 'DT', 'NNS', 'IN', 'PRP$', 'NN', ',', 'IN', 'NN', ',', 'CC', 'RB', 'IN', 'PRP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'VBG', 'IN', 'DT', 'NN', 'JJR', 'IN', 'DT', 'NNS', '.']"
"['Nonetheless', ',', 'it', 'is', 'not', 'that', 'profound', ',', 'because', '""', 'for', 'the', 'good', 'of', 'the', 'country', '""', 'is', 'just', 'for', 'my', 'own', 'good', '.']","['Because', '""', 'for', 'the', 'good', 'of', 'the', 'country', '""', 'is', 'just', 'for', 'my', 'own', 'good', ',', 'nonetheless', ',', 'it', 'is', 'not', 'that', 'profound', '.']","['IN', '``', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', ""''"", 'VBZ', 'RB', 'IN', 'PRP$', 'JJ', 'NN', ',', 'RB', ',', 'PRP', 'VBZ', 'RB', 'RB', 'JJ', '.']","['IN', '``', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', ""''"", 'VBZ', 'RB', 'IN', 'PRP$', 'JJ', 'JJ', ',', 'RB', ',', 'PRP', 'VBZ', 'RB', 'RB', 'JJ', '.']"
