source_input,follow_input,target_output,follow_output
"['The', 'offering', ',', 'Series', '102', ',', 'backed', 'by', 'Freddie', 'Mac', '8', '1/2', '%', 'securities', 'with', 'a', 'weighted', 'average', 'remaining', 'term', 'to', 'maturity', 'of', '28.4', 'years', ',', 'was', 'priced', 'before', 'the', 'market', ""'s"", 'afternoon', 'surge', '.']","['The', 'offering', ',', 'Series', '102', ',', 'backed', 'by', 'Freddie', 'Mac', '8', '1/2', '%', 'securities', 'with', 'a', 'weighted', 'average', 'remaining', 'term', 'to', 'maturity', 'of', '28.4', 'years', ',', 'was', 'priced', 'before', 'the', 'market', ""'s"", 'afternoon', 'surge', ',', 'and', 'it', 'never', 'happens', 'there', '.']","['DET', 'NOUN', 'PUNCT', 'PROPN', 'NUM', 'PUNCT', 'VERB', 'ADP', 'PROPN', 'PROPN', 'NUM', 'NUM', 'NOUN', 'NOUN', 'ADP', 'DET', 'VERB', 'ADJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PUNCT', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'NOUN']","['DET', 'NOUN', 'PUNCT', 'PROPN', 'NUM', 'PUNCT', 'VERB', 'ADP', 'PROPN', 'PROPN', 'NUM', 'NUM', 'NOUN', 'NOUN', 'ADP', 'DET', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PUNCT', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'NOUN', 'PUNCT', 'CCONJ', 'PRON', 'ADV', 'VERB', 'ADV', 'PUNCT']"
"['The', 'offering', ',', 'Series', '102', ',', 'backed', 'by', 'Freddie', 'Mac', '8', '1/2', '%', 'securities', 'with', 'a', 'weighted', 'average', 'remaining', 'term', 'to', 'maturity', 'of', '28.4', 'years', ',', 'was', 'priced', 'before', 'the', 'market', ""'s"", 'afternoon', 'surge', '.']","['The', 'offering', ',', 'Series', '102', ',', 'backed', 'by', 'Freddie', 'Mac', '8', '1/2', '%', 'securities', 'with', 'a', 'weighted', 'average', 'remaining', 'term', 'to', 'maturity', 'of', '28.4', 'years', ',', 'was', 'priced', 'before', 'the', 'market', ""'s"", 'afternoon', 'surge', ',', 'and', 'these', 'also', 'include', 'some', 'of', 'our', 'command', 'and', 'policy', '-', 'making', 'systems', '.']","['DET', 'NOUN', 'PUNCT', 'PROPN', 'NUM', 'PUNCT', 'VERB', 'ADP', 'PROPN', 'PROPN', 'NUM', 'NUM', 'NOUN', 'NOUN', 'ADP', 'DET', 'VERB', 'ADJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PUNCT', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'NOUN']","['DET', 'NOUN', 'PUNCT', 'PROPN', 'NUM', 'PUNCT', 'VERB', 'ADP', 'PROPN', 'PROPN', 'NUM', 'NUM', 'NOUN', 'NOUN', 'ADP', 'DET', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PUNCT', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'ADV', 'VERB', 'DET', 'ADP', 'PRON', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'PUNCT']"
"['The', 'offering', ',', 'Series', '102', ',', 'backed', 'by', 'Freddie', 'Mac', '8', '1/2', '%', 'securities', 'with', 'a', 'weighted', 'average', 'remaining', 'term', 'to', 'maturity', 'of', '28.4', 'years', ',', 'was', 'priced', 'before', 'the', 'market', ""'s"", 'afternoon', 'surge', '.']","['The', 'offering', ',', 'Series', '102', ',', 'backed', 'by', 'Freddie', 'Mac', '8', '1/2', '%', 'securities', 'with', 'a', 'weighted', 'average', 'remaining', 'term', 'to', 'maturity', 'of', '28.4', 'years', ',', 'was', 'priced', 'before', 'the', 'market', ""'s"", 'afternoon', 'surge', ',', 'and', 'and', 'I', 'can', 'assure', 'you', 'we', ""'re"", 'going', 'to', 'drive', 'with', 'a', 'great', 'deal', 'of', 'energy', 'and', 'determination']","['DET', 'NOUN', 'PUNCT', 'PROPN', 'NUM', 'PUNCT', 'VERB', 'ADP', 'PROPN', 'PROPN', 'NUM', 'NUM', 'NOUN', 'NOUN', 'ADP', 'DET', 'VERB', 'ADJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PUNCT', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'NOUN']","['DET', 'NOUN', 'PUNCT', 'PROPN', 'NUM', 'PUNCT', 'VERB', 'ADP', 'PROPN', 'PROPN', 'NUM', 'NUM', 'NOUN', 'NOUN', 'ADP', 'DET', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PUNCT', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'NOUN', 'PUNCT', 'CCONJ', 'CCONJ', 'PRON', 'AUX', 'VERB', 'PRON', 'PRON', 'AUX', 'VERB', 'PART', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN']"
"['The', 'offering', ',', 'Series', '102', ',', 'backed', 'by', 'Freddie', 'Mac', '8', '1/2', '%', 'securities', 'with', 'a', 'weighted', 'average', 'remaining', 'term', 'to', 'maturity', 'of', '28.4', 'years', ',', 'was', 'priced', 'before', 'the', 'market', ""'s"", 'afternoon', 'surge', '.']","['The', 'offering', ',', 'Series', '102', ',', 'backed', 'by', 'Freddie', 'Mac', '8', '1/2', '%', 'securities', 'with', 'a', 'weighted', 'average', 'remaining', 'term', 'to', 'maturity', 'of', '28.4', 'years', ',', 'was', 'priced', 'before', 'the', 'market', ""'s"", 'afternoon', 'surge', ',', 'and', 'the', 'men', 'were', 'talking', 'about', 'killing', 'David', 'with', 'stones', '.']","['DET', 'NOUN', 'PUNCT', 'PROPN', 'NUM', 'PUNCT', 'VERB', 'ADP', 'PROPN', 'PROPN', 'NUM', 'NUM', 'NOUN', 'NOUN', 'ADP', 'DET', 'VERB', 'ADJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PUNCT', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'NOUN']","['DET', 'NOUN', 'PUNCT', 'PROPN', 'NUM', 'PUNCT', 'VERB', 'ADP', 'PROPN', 'PROPN', 'NUM', 'NUM', 'NOUN', 'NOUN', 'ADP', 'DET', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PUNCT', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'NOUN', 'AUX', 'VERB', 'ADP', 'VERB', 'PROPN', 'ADP', 'NOUN', 'PUNCT']"
"['The', 'offering', ',', 'Series', '102', ',', 'backed', 'by', 'Freddie', 'Mac', '8', '1/2', '%', 'securities', 'with', 'a', 'weighted', 'average', 'remaining', 'term', 'to', 'maturity', 'of', '28.4', 'years', ',', 'was', 'priced', 'before', 'the', 'market', ""'s"", 'afternoon', 'surge', '.']","['The', 'offering', ',', 'Series', '102', ',', 'backed', 'by', 'Freddie', 'Mac', '8', '1/2', '%', 'securities', 'with', 'a', 'weighted', 'average', 'remaining', 'term', 'to', 'maturity', 'of', '28.4', 'years', ',', 'was', 'priced', 'before', 'the', 'market', ""'s"", 'afternoon', 'surge', ',', 'and', 'on', 'November', '25', 'Wang', 'and', 'a', 'handful', 'of', 'other', 'leading', 'industrialists', 'went', 'to', 'call', 'on', 'the', 'president', 'at', 'his', 'official', 'residence', '.']","['DET', 'NOUN', 'PUNCT', 'PROPN', 'NUM', 'PUNCT', 'VERB', 'ADP', 'PROPN', 'PROPN', 'NUM', 'NUM', 'NOUN', 'NOUN', 'ADP', 'DET', 'VERB', 'ADJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PUNCT', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'NOUN']","['DET', 'NOUN', 'PUNCT', 'PROPN', 'NUM', 'PUNCT', 'VERB', 'ADP', 'PROPN', 'PROPN', 'NUM', 'NUM', 'NOUN', 'NOUN', 'ADP', 'DET', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PUNCT', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'NOUN', 'PUNCT', 'CCONJ', 'ADP', 'PROPN', 'NUM', 'PROPN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'PART', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'PRON', 'ADJ', 'NOUN', 'PUNCT']"
"['See', ',', 'it', ""'s"", 'the', 'Hegelian', 'dialectic', 'at', 'work', '.']","['See', ',', 'it', ""'s"", 'the', 'Hegelian', 'dialectic', 'at', 'work', ',', 'and', 'as', 'I', 'just', 'said', 'it', ""'s"", 'not', 'just', 'women', 'and', 'girls', 'who', 'are', 'affected']","['VERB', 'PUNCT', 'PRON', 'AUX', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN']","['INTJ', 'PUNCT', 'PRON', 'AUX', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'CCONJ', 'ADP', 'PRON', 'ADV', 'VERB', 'PRON', 'VERB', 'PART', 'ADV', 'NOUN', 'CCONJ', 'NOUN', 'PRON', 'AUX', 'VERB']"
"['See', ',', 'it', ""'s"", 'the', 'Hegelian', 'dialectic', 'at', 'work', '.']","['See', ',', 'it', ""'s"", 'the', 'Hegelian', 'dialectic', 'at', 'work', ',', 'and', 'irene', 'died']","['VERB', 'PUNCT', 'PRON', 'AUX', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN']","['INTJ', 'PUNCT', 'PRON', 'AUX', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'CCONJ', 'PROPN', 'VERB']"
"['So', 'I', ""'ve"", 'just', 'been', 'toying', 'with', 'this', 'idea', 'of', 'going', 'back', 'to', 'school', 'and', 'getting', 'a', 'computer', 'science', 'degree', 'so', 'I', 'can', 'always', 'be', 'gainfully', 'employed', '.']","['So', 'I', ""'ve"", 'just', 'been', 'toying', 'with', 'this', 'idea', 'of', 'going', 'back', 'to', 'school', 'and', 'getting', 'a', 'computer', 'science', 'degree', 'so', 'I', 'can', 'always', 'be', 'gainfully', 'employed', ',', 'and', 'however', 'well', 'intentioned', ',', 'food', 'transfers', 'have', 'the', 'habit', 'of', 'growing', 'larger', 'and', 'wrecking', 'the', 'market', 'incentives', 'for', 'the', 'recipient', 'country', ""'s"", 'own', 'farmers', '.']","['ADV', 'PRON', 'AUX', 'ADV', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'ADV', 'ADV', 'ADP', 'NOUN', 'CCONJ', 'DET', 'DET', 'NOUN', 'NOUN', 'NOUN', 'SCONJ', 'PRON', 'AUX', 'ADV', 'AUX', 'ADV', 'VERB']","['ADV', 'PRON', 'AUX', 'ADV', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'VERB', 'ADV', 'ADP', 'NOUN', 'CCONJ', 'DET', 'DET', 'NOUN', 'NOUN', 'NOUN', 'SCONJ', 'PRON', 'AUX', 'ADV', 'VERB', 'ADV', 'ADJ', 'PUNCT', 'CCONJ', 'ADV', 'ADV', 'ADJ', 'PUNCT', 'NOUN', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'VERB', 'ADJ', 'CCONJ', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'PART', 'ADJ', 'NOUN', 'PUNCT']"
"['So', 'I', ""'ve"", 'just', 'been', 'toying', 'with', 'this', 'idea', 'of', 'going', 'back', 'to', 'school', 'and', 'getting', 'a', 'computer', 'science', 'degree', 'so', 'I', 'can', 'always', 'be', 'gainfully', 'employed', '.']","['So', 'I', ""'ve"", 'just', 'been', 'toying', 'with', 'this', 'idea', 'of', 'going', 'back', 'to', 'school', 'and', 'getting', 'a', 'computer', 'science', 'degree', 'so', 'I', 'can', 'always', 'be', 'gainfully', 'employed', ',', 'and', 'two', '-', 'Way', 'Street']","['ADV', 'PRON', 'AUX', 'ADV', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'ADV', 'ADV', 'ADP', 'NOUN', 'CCONJ', 'DET', 'DET', 'NOUN', 'NOUN', 'NOUN', 'SCONJ', 'PRON', 'AUX', 'ADV', 'AUX', 'ADV', 'VERB']","['ADV', 'PRON', 'AUX', 'ADV', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'VERB', 'ADV', 'ADP', 'NOUN', 'CCONJ', 'DET', 'DET', 'NOUN', 'NOUN', 'NOUN', 'SCONJ', 'PRON', 'AUX', 'ADV', 'AUX', 'ADV', 'VERB', 'PUNCT', 'CCONJ', 'NUM', 'PUNCT', 'PROPN', 'PROPN']"
"['So', 'I', ""'ve"", 'just', 'been', 'toying', 'with', 'this', 'idea', 'of', 'going', 'back', 'to', 'school', 'and', 'getting', 'a', 'computer', 'science', 'degree', 'so', 'I', 'can', 'always', 'be', 'gainfully', 'employed', '.']","['So', 'I', ""'ve"", 'just', 'been', 'toying', 'with', 'this', 'idea', 'of', 'going', 'back', 'to', 'school', 'and', 'getting', 'a', 'computer', 'science', 'degree', 'so', 'I', 'can', 'always', 'be', 'gainfully', 'employed', ',', 'and', 'california', 'led', 'the', 'nation', 'with', '$', '6.5', 'billion', 'in', 'net', 'cash', 'income', 'last', 'year', ',', 'followed', 'by', 'Texas', ',', '$', '3.9', 'billion', ';', 'Iowa', ',', '$', '3.4', 'billion', ';', 'Florida', ',', '$', '3.1', 'billion', ';', 'and', 'Minnesota', ',', '$', '2.7', 'billion', '.']","['ADV', 'PRON', 'AUX', 'ADV', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'ADV', 'ADV', 'ADP', 'NOUN', 'CCONJ', 'DET', 'DET', 'NOUN', 'NOUN', 'NOUN', 'SCONJ', 'PRON', 'AUX', 'ADV', 'AUX', 'ADV', 'VERB']","['ADV', 'PRON', 'AUX', 'ADV', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'VERB', 'ADV', 'ADP', 'NOUN', 'CCONJ', 'DET', 'DET', 'NOUN', 'NOUN', 'NOUN', 'SCONJ', 'PRON', 'AUX', 'ADV', 'AUX', 'ADV', 'VERB', 'PUNCT', 'CCONJ', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'SYM', 'NUM', 'NUM', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'PROPN', 'PUNCT', 'SYM', 'NUM', 'NUM', 'PUNCT', 'PROPN', 'PUNCT', 'SYM', 'NUM', 'NUM', 'PUNCT', 'PROPN', 'PUNCT', 'SYM', 'NUM', 'NUM', 'PUNCT', 'CCONJ', 'PROPN', 'PUNCT', 'SYM', 'NUM', 'NUM', 'PUNCT']"
